Athlete_Key,Name,Sex,Age,Height,Weight,Team,NOC,Region_Country,Age_Group
40311,"Robert ""Rob"" Elder",M,31.0,194.0,115.0,FIJI,FIJ,Fiji,30+
40312,"Robert ""Rob"" Elder",M,35.0,194.0,115.0,FIJI,FIJ,Fiji,30+
40313,"Robert ""Rob"" Fagan",M,33.0,185.0,88.0,CANADA,CAN,Canada,30+
40314,"Robert ""Rob"" Fagan",M,37.0,185.0,88.0,CANADA,CAN,Canada,30+
40315,"Robert ""Robbie"" Cadee",M,25.0,188.0,72.0,AUSTRALIA,AUS,Australia,20-25
40316,"Robert ""Robbie"" Davies",M,26.0,175.0,71.0,GREAT BRITAIN,GBR,UK,26-30
40317,"Robert ""Robbie"" Dixon",M,25.0,175.0,84.0,CANADA,CAN,Canada,20-25
40318,"Robert ""Robbie"" Dunn",M,28.0,190.0,91.0,AUSTRALIA,AUS,Australia,26-30
40319,"Robert ""Robbie"" Eastham",M,19.0,195.0,100.0,NEW ZEALAND,NZL,New Zealand,<20
40320,"Robert ""Robin"" Avery",M,23.0,187.0,76.0,GREAT BRITAIN,GBR,UK,20-25
40321,"Robert ""Robin"" Benson",M,31.0,177.0,79.0,ALETTA,IRL,Ireland,30+
40322,Robert Acquafresca,M,20.0,184.0,70.0,ITALY,ITA,Italy,20-25
40323,Robert Adriaan Bouten,M,23.0,184.0,78.0,NETHERLANDS,NED,Netherlands,20-25
40324,"Robert Adrian ""Robby"" Andrews",M,25.0,178.0,66.0,UNITED STATES,USA,USA,20-25
40325,"Robert Alexander ""Rob"" Barel",M,42.0,181.0,75.0,NETHERLANDS,NED,Netherlands,30+
40326,"Robert Alexander ""Rob"" Boyd",M,21.0,185.0,84.0,CANADA,CAN,Canada,20-25
40327,Robert Alexander Baird,M,21.0,184.0,78.0,AUSTRALIA,AUS,Australia,20-25
40328,"Robert Allan ""Bob"" Attersley",M,26.0,178.0,74.0,CANADA,CAN,Canada,26-30
40329,"Robert Allen ""R. A."" Dickey",M,21.0,188.0,94.0,UNITED STATES,USA,USA,20-25
40330,Robert Alt,M,29.0,175.0,70.0,SWITZERLAND-1,SUI,Switzerland,26-30
40331,Robert Andersson,M,22.0,191.0,83.0,SWEDEN,SWE,Sweden,20-25
40332,Robert Andersson,M,26.0,191.0,83.0,SWEDEN,SWE,Sweden,26-30
40333,Robert Andrew,M,30.0,188.0,74.0,AUSTRALIA,AUS,Australia,26-30
40334,"Robert Andrew ""Bob"" Dobek",M,23.0,182.0,83.0,UNITED STATES,USA,USA,20-25
40335,Robert Andrew Coull,M,22.0,184.0,73.0,GREAT BRITAIN,GBR,UK,20-25
40336,Robert Andrieux,M,25.0,175.0,70.0,BELGIUM,BEL,Belgium,20-25
40337,Robert Anthony Collins,M,24.0,175.0,70.0,GREAT BRITAIN,GBR,UK,20-25
40338,Robert Anthony Dunkley,M,47.0,175.0,70.0,BAHAMAS,BAH,Bahamas,30+
40339,Robert Arnold Crawshaw,M,31.0,175.0,70.0,"OSBORNE SWIMMING CLUB, MANCHESTER",GBR,UK,30+
40340,Robert Arnold Crawshaw,M,31.0,175.0,70.0,GREAT BRITAIN,GBR,UK,30+
